OBJECTID,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ICAO_ID
12110,41,22,15.61,N,41.37100277,81,49,58.275,W,-81.83285416,
12111,41,26,58.544,N,41.44959555,81,3,46.564,W,-81.06293444,
12112,41,27,0.66,N,41.45018333,81,3,2.88,W,-81.0508,
12113,39,31,54.3,N,39.53175,84,23,47.2,W,-84.39644444,KMWO
12114,39,29,50.9,N,39.49747222,84,18,50.1,W,-84.31391666,
12115,39,29,32,N,39.49222222,84,19,9,W,-84.31916666,
12116,39,14,53,N,39.24805555,83,54,54,W,-83.915,
12117,41,21,24.183,N,41.3567175,82,37,29.639,W,-82.62489972,
12118,40,8,25.216,N,40.14033777,83,23,24.714,W,-83.39019833,
12119,40,32,12.1245,N,40.53670125,81,57,21.3882,W,-81.95594116,
12120,40,48,44.211,N,40.81228083,81,3,18.341,W,-81.05509472,
12121,40,44,45.213,N,40.7458925,81,8,39.364,W,-81.14426777,
12122,39,15,11.52,N,39.2532,84,20,30.88,W,-84.34191111,
12123,41,34,28.191,N,41.5744975,81,4,32.349,W,-81.0756525,
12124,41,26,27.192,N,41.44088666,81,26,35.417,W,-81.44317138,
12125,39,20,1.216,N,39.33367111,84,8,19.765,W,-84.13882361,
12126,39,20,4,N,39.33444444,84,4,12,W,-84.07,
12127,40,31,28.283,N,40.52452305,82,51,0.22,W,-82.85006111,
12128,40,35,2.213,N,40.58394805,82,40,45.625,W,-82.67934027,
12129,39,2,1,N,39.03361111,83,53,10,W,-83.88611111,
12130,39,0,31,N,39.00861111,83,54,33,W,-83.90916666,
12131,39,2,45.5931,N,39.04599808,83,56,27.2596,W,-83.94090544,
12132,39,2,14.31,N,39.03730833,83,55,26.03,W,-83.92389722,
12133,40,23,55.8,N,40.39883333,82,26,56.39,W,-82.44899722,
12134,40,19,44.082,N,40.32891166,82,31,33.854,W,-82.52607055,
12135,40,21,54.224,N,40.36506222,82,29,44.585,W,-82.49571805,
12136,40,31,29,N,40.52472222,83,30,42,W,-83.51166666,
12137,41,22,27.371,N,41.37426972,84,4,4.365,W,-84.06787916,
12138,41,20,3.178,N,41.33421611,84,9,48.805,W,-84.16355694,
12139,41,24,43.12,N,41.41197777,84,5,15.29,W,-84.08758055,
12140,40,4,8.243,N,40.06895638,82,8,9.508,W,-82.13597444,
12141,40,1,28.8,N,40.02466666,82,27,42.5,W,-82.46180555,KVTA
12142,40,2,53.88,N,40.0483,82,27,6.98,W,-82.45193888,
12143,40,9,14.64,N,40.15406666,82,18,24.865,W,-82.30690694,
12144,41,27,4.189,N,41.45116361,81,14,5.37,W,-81.234825,
12145,41,27,15.188,N,41.45421888,81,14,43.371,W,-81.24538083,
12146,39,55,51.212,N,39.93089222,84,0,48.766,W,-84.01354611,
12147,39,44,5.201,N,39.73477805,84,22,56,W,-84.38222222,
12148,39,46,12.197,N,39.77005472,84,24,59.81,W,-84.41661388,
12149,39,41,29.73,N,39.69159166,82,11,52.037,W,-82.19778805,
12150,41,7,58.193,N,41.13283138,82,27,38.609,W,-82.46072472,
12151,40,28,12.6,N,40.47016666,81,25,11.8,W,-81.41994444,KPHD
12152,41,9,21.204,N,41.15589,81,0,14.333,W,-81.00398138,
12153,41,12,40.203,N,41.2111675,80,58,9.326,W,-80.96925722,
12154,41,11,55.187,N,41.19866305,83,42,2.763,W,-83.7007675,
12155,41,43,4.8,N,41.718,82,49,16,W,-82.82111111,
12156,39,9,22,N,39.15611111,84,46,54,W,-84.78166666,
12157,40,53,24.36,N,40.8901,81,18,43.69,W,-81.31213611,
12158,41,26,48.27,N,41.44674166,81,32,17.54,W,-81.53820555,
12159,41,6,13.208,N,41.10366888,80,49,35.298,W,-80.82647166,
12160,40,58,59,N,40.98305555,80,42,4,W,-80.70111111,
12161,40,59,4,N,40.98444444,80,41,28,W,-80.69111111,
12162,41,23,1.38,N,41.38371666,81,58,56.76,W,-81.98243333,
12163,41,16,20.189,N,41.27227472,82,37,22.64,W,-82.62295555,
12164,41,14,41.1,N,41.24475,82,33,4.4,W,-82.55122222,
12165,41,13,25.2655,N,41.22368486,82,36,12.3029,W,-82.60341747,
12166,41,26,58.2,N,41.4495,81,17,12.84,W,-81.2869,
12167,38,53,45.272,N,38.89590888,82,34,37.582,W,-82.57710611,
12168,41,15,36,N,41.26,82,12,18,W,-82.205,
12169,40,1,18.45,N,40.02179166,81,28,56.555,W,-81.48237638,
12170,40,46,17.1,N,40.77141666,82,35,41.7,W,-82.59491666,
12171,41,37,56.81,N,41.63244722,83,28,58.46,W,-83.48290555,
12172,40,52,32.5,N,40.87569444,81,45,59.39,W,-81.76649722,
12173,40,49,55.18,N,40.83199444,81,45,42.5,W,-81.76180555,
12174,41,2,8.142,N,41.035595,83,58,54.817,W,-83.98189361,KOWX
12175,39,7,41.226,N,39.12811833,84,5,33.761,W,-84.09271138,
12176,39,30,8.135,N,39.50225972,84,47,3.773,W,-84.78438138,KOXD
12177,39,30,45.3,N,39.51258333,84,44,30.96,W,-84.74193333,
12178,39,34,58.186,N,39.58282944,84,45,45.837,W,-84.7627325,
12179,41,40,1.3566,N,41.6670435,81,11,49.8601,W,-81.19718336,
12180,41,46,42.167,N,41.77837972,81,10,1.359,W,-81.16704416,
12181,41,39,42.247,N,41.66173527,81,14,47.8185,W,-81.24661625,
12182,41,22,56.31,N,41.38230833,81,43,55.01,W,-81.73194722,
12183,41,8,4.177,N,41.13449361,84,27,2.815,W,-84.45078194,
12184,41,7,24.177,N,41.1233825,84,37,3.835,W,-84.61773194,
12185,38,56,6.254,N,38.93507055,83,23,57.683,W,-83.39935638,
12186,41,28,35.191,N,41.47644194,81,27,57.426,W,-81.46595166,
12187,40,54,2.219,N,40.90061638,80,33,19.252,W,-80.55534777,
12188,39,54,47.8,N,39.91327777,84,24,1.485,W,-84.4004125,
12189,40,9,52.9,N,40.16469444,84,18,30.3,W,-84.30841666,
12190,40,11,18.179,N,40.18838305,84,15,21.802,W,-84.25605611,
12191,40,6,31,N,40.10861111,84,17,59,W,-84.29972222,
12192,40,8,59,N,40.14972222,84,13,1,W,-84.21694444,
12193,40,2,45.186,N,40.045885,84,20,3.809,W,-84.33439138,
12194,40,3,44.184,N,40.06227333,84,22,45.814,W,-84.37939277,
12195,40,55,9.202,N,40.91922277,82,6,50.55,W,-82.11404166,
12196,39,3,21.05,N,39.05584722,82,0,50.01,W,-82.01389166,
12197,41,30,58.574,N,41.51627055,82,52,10.152,W,-82.86948666,KPCW
12198,41,30,21.77,N,41.50604722,82,55,50.27,W,-82.93063055,
12199,38,44,22.32,N,38.73953333,82,59,16.32,W,-82.98786666,
